401 	 Q0 	 FBIS3-18024          	 0       	 1,922.7993 	 lucene
401 	 Q0 	 FT924-4470           	 1       	 1,528.5404 	 lucene
401 	 Q0 	 FBIS4-65434          	 2       	 1,470.1285 	 lucene
401 	 Q0 	 FBIS4-43868          	 3       	 1,456.0415 	 lucene
401 	 Q0 	 FBIS3-38976          	 4       	 1,431.4547 	 lucene
401 	 Q0 	 FBIS4-19524          	 5       	 1,422.0415 	 lucene
401 	 Q0 	 FT944-8162           	 6       	 1,408.6498 	 lucene
401 	 Q0 	 FBIS4-18182          	 7       	 1,399.4915 	 lucene
401 	 Q0 	 FT934-9441           	 8       	 1,396.9060 	 lucene
401 	 Q0 	 FT934-12743          	 9       	 1,396.1895 	 lucene
401 	 Q0 	 FBIS4-31704          	 10      	 1,393.6931 	 lucene
401 	 Q0 	 FBIS3-59055          	 11      	 1,385.6398 	 lucene
401 	 Q0 	 FBIS4-15890          	 12      	 1,371.5724 	 lucene
401 	 Q0 	 FBIS3-59436          	 13      	 1,366.6893 	 lucene
401 	 Q0 	 FBIS3-20188          	 14      	 1,361.5581 	 lucene
401 	 Q0 	 FBIS3-38236          	 15      	 1,356.7424 	 lucene
401 	 Q0 	 FT943-5289           	 16      	 1,347.9756 	 lucene
401 	 Q0 	 FT924-7558           	 17      	 1,347.8032 	 lucene
401 	 Q0 	 FBIS3-4201           	 18      	 1,345.4885 	 lucene
401 	 Q0 	 FBIS3-38677          	 19      	 1,342.9058 	 lucene
401 	 Q0 	 FBIS4-62149          	 20      	 1,336.3081 	 lucene
401 	 Q0 	 FBIS3-7981           	 21      	 1,335.7166 	 lucene
401 	 Q0 	 FBIS4-43888          	 22      	 1,335.4326 	 lucene
401 	 Q0 	 FT924-11408          	 23      	 1,332.6865 	 lucene
401 	 Q0 	 FT921-727            	 24      	 1,325.9879 	 lucene
401 	 Q0 	 FBIS4-19134          	 25      	 1,322.1566 	 lucene
401 	 Q0 	 FT922-14344          	 26      	 1,319.8333 	 lucene
401 	 Q0 	 FR940111-0-00022     	 27      	 1,317.0952 	 lucene
401 	 Q0 	 FT923-2968           	 28      	 1,308.8600 	 lucene
401 	 Q0 	 FT934-12742          	 29      	 1,305.0234 	 lucene
401 	 Q0 	 FT921-13797          	 30      	 1,304.7183 	 lucene
401 	 Q0 	 FT924-13569          	 31      	 1,303.3453 	 lucene
401 	 Q0 	 FBIS4-8586           	 32      	 1,303.3322 	 lucene
401 	 Q0 	 FT933-803            	 33      	 1,299.8835 	 lucene
401 	 Q0 	 FT924-5091           	 34      	 1,296.6405 	 lucene
401 	 Q0 	 FT923-3134           	 35      	 1,292.7291 	 lucene
401 	 Q0 	 FBIS3-46030          	 36      	 1,287.5516 	 lucene
401 	 Q0 	 FT933-3276           	 37      	 1,279.7937 	 lucene
401 	 Q0 	 LA121489-0181        	 38      	 1,275.4905 	 lucene
401 	 Q0 	 FBIS3-18003          	 39      	 1,274.4945 	 lucene
401 	 Q0 	 FBIS3-17460          	 40      	 1,266.3113 	 lucene
401 	 Q0 	 FBIS4-55384          	 41      	 1,265.7252 	 lucene
401 	 Q0 	 FBIS4-32230          	 42      	 1,265.4404 	 lucene
